userId,amount,category,timestamp
u3,5.49,grocery,1754718641
u4,17.84,books,1755205780
u2,112.47,electronics,1756048339
u2,-161.98,fashion,1756061319
u2,191.46,grocery,1754694403
u2,53.27,apps,1754812304
u2,110.63,other,1755805553
u3,9.64,travel,1754623417
u4,76.34,fashion,1754970966
u2,53.76,other,1756843626
u2,49.34,grocery,1756624762
u2,153.78,fashion,1755611851
u2,182.67,electronics,1755180566
u2,182.95,grocery,1755323176
u2,149.53,other,1755807069
u8,102.15,books,1754748647
u2,136.26,apps,1756788083
u2,194.23,books,1754769210
u2,53.73,grocery,1756112283
u2,144.56,sports,1755038066
u2,125.25,movies,1755123039
u3,108.11,movies,1754291144
u2,22.82,sports,1755578553
u2,113.69,electronics,1754579044
u2,25.59,sports,1754981338
u4,84.92,movies,1755132434
u2,134.50,home,1756182416
u2,,grocery,1755212404
u3,12.25,books,1755674663
u2,133.96,grocery,1756683874
u2,94.86,grocery,1756096705
u2,172.84,electronics,1754701540
u3,160.22,grocery,1756538091
u2,56.07,home,1756147371
u3,20.03,movies,1754350644
u4,169.81,movies,1755185267
u4,-33.35,apps,1756197189
u3,146.24,electronics,1756329993
u2,193.76,movies,1755604099
u2,100.82,grocery,1756418733
u2,119.21,grocery,1754791586
u2,115.99,grocery,1756736845
u2,52.52,travel,1755402814
u3,,fashion,1754593013
u2,112.82,movies,1756410580
u4,176.23,travel,1754950384
u2,,fashion,1756507284
u3,60.23,sports,1754852003
u4,148.61,travel,1755172190
u2,127.03,movies,1754501812
u2,-55.70,fashion,1755387466
u2,141.28,grocery,1754913924
u3,116.71,grocery,1755581675
u4,194.45,travel,1755335349
u2,112.20,sports,1754936989
u2,32.92,grocery,1756018034
u3,66.77,fashion,1755329634
u3,22.07,home,1755221700
u4,70.26,home,1755223755
u2,65.99,sports,1755459481
u2,136.06,travel,1754404511
u5,36.12,grocery,1754743419
u2,157.39,sports,1754773799
u2,51.32,books,1756547177
u4,147.54,apps,1755673705
u3,25.36,movies,1756001670
u3,111.11,electronics,1755878996
u4,123.30,movies,1754290448
u2,157.26,travel,1756141730
u2,94.90,fashion,1755000483
